data,casi,casi_media7gg
2020-02-20,1,
2020-02-21,2,
2020-02-22,2,
2020-02-23,3,4.142857142857143
2020-02-24,5,5.285714285714286
2020-02-25,10,6.571428571428571
2020-02-26,6,8.285714285714286
2020-02-27,9,11.285714285714286
2020-02-28,11,14.142857142857142
2020-02-29,14,20.714285714285715
2020-03-01,24,28.0
2020-03-02,25,38.142857142857146
2020-03-03,56,52.42857142857143
2020-03-04,57,74.57142857142857
2020-03-05,80,96.42857142857143
2020-03-06,111,124.57142857142857
2020-03-07,169,156.28571428571428
2020-03-08,177,192.0
2020-03-09,222,226.0
2020-03-10,278,262.57142857142856
2020-03-11,307,300.2857142857143
2020-03-12,318,334.57142857142856
2020-03-13,367,374.2857142857143
2020-03-14,433,415.57142857142856
2020-03-15,417,461.57142857142856
2020-03-16,500,508.42857142857144
2020-03-17,567,562.1428571428571
2020-03-18,629,616.1428571428571
2020-03-19,646,672.1428571428571
2020-03-20,743,722.1428571428571
2020-03-21,811,756.2857142857143
2020-03-22,809,788.0
2020-03-23,850,813.7142857142857
2020-03-24,806,831.8571428571429
2020-03-25,851,846.1428571428571
2020-03-26,826,839.7142857142857
2020-03-27,870,828.0
2020-03-28,911,812.1428571428571
2020-03-29,764,790.7142857142857
2020-03-30,768,769.5714285714286
2020-03-31,695,741.1428571428571
2020-04-01,701,700.5714285714286
2020-04-02,678,676.1428571428571
2020-04-03,671,650.2857142857143
2020-04-04,627,637.8571428571429
2020-04-05,593,623.1428571428571
2020-04-06,587,604.7142857142857
2020-04-07,608,595.8571428571429
2020-04-08,598,589.5714285714286
2020-04-09,549,587.7142857142857
2020-04-10,609,580.0
2020-04-11,583,569.4285714285714
2020-04-12,580,557.1428571428571
2020-04-13,533,543.4285714285714
2020-04-14,534,524.5714285714286
2020-04-15,512,508.0
2020-04-16,453,491.7142857142857
2020-04-17,477,479.7142857142857
2020-04-18,467,455.85714285714283
2020-04-19,466,437.7142857142857
2020-04-20,449,425.14285714285717
2020-04-21,367,412.42857142857144
2020-04-22,385,397.14285714285717
2020-04-23,365,376.7142857142857
2020-04-24,388,360.85714285714283
2020-04-25,360,353.7142857142857
2020-04-26,323,341.85714285714283
2020-04-27,338,327.7142857142857
2020-04-28,317,309.57142857142856
2020-04-29,302,295.2857142857143
2020-04-30,266,284.42857142857144
2020-05-01,261,267.7142857142857
2020-05-02,260,255.42857142857142
2020-05-03,247,244.0
2020-05-04,221,232.0
2020-05-05,231,219.28571428571428
2020-05-06,222,211.71428571428572
2020-05-07,182,201.71428571428572
2020-05-08,172,194.42857142857142
2020-05-09,207,185.85714285714286
2020-05-10,177,175.14285714285714
2020-05-11,170,169.42857142857142
2020-05-12,171,167.85714285714286
2020-05-13,147,153.85714285714286
2020-05-14,142,146.0
2020-05-15,161,136.71428571428572
2020-05-16,109,126.71428571428571
2020-05-17,122,119.85714285714286
2020-05-18,105,111.71428571428571
2020-05-19,101,101.14285714285714
2020-05-20,99,100.14285714285714
2020-05-21,85,95.14285714285714
2020-05-22,87,92.0
2020-05-23,102,86.71428571428571
2020-05-24,87,80.14285714285714
2020-05-25,83,79.0
2020-05-26,64,76.0
2020-05-27,53,68.85714285714286
2020-05-28,77,64.85714285714286
2020-05-29,66,63.142857142857146
2020-05-30,52,62.714285714285715
2020-05-31,59,63.0
2020-06-01,71,60.857142857142854
2020-06-02,61,60.714285714285715
2020-06-03,55,65.0
2020-06-04,62,62.285714285714285
2020-06-05,65,59.0
2020-06-06,82,57.285714285714285
2020-06-07,40,55.142857142857146
2020-06-08,48,52.0
2020-06-09,49,48.42857142857143
2020-06-10,40,40.714285714285715
2020-06-11,40,38.285714285714285
2020-06-12,40,37.57142857142857
2020-06-13,28,39.142857142857146
2020-06-14,23,39.285714285714285
2020-06-15,43,40.0
2020-06-16,60,39.42857142857143
2020-06-17,41,38.714285714285715
2020-06-18,45,39.285714285714285
2020-06-19,36,37.857142857142854
2020-06-20,23,37.42857142857143
2020-06-21,27,35.0
2020-06-22,33,32.714285714285715
2020-06-23,57,30.857142857142858
2020-06-24,24,31.142857142857142
2020-06-25,29,29.428571428571427
2020-06-26,23,27.571428571428573
2020-06-27,25,22.0
2020-06-28,15,20.857142857142858
2020-06-29,20,19.142857142857142
2020-06-30,18,18.428571428571427
2020-07-01,16,15.857142857142858
2020-07-02,17,15.285714285714286
2020-07-03,18,14.857142857142858
2020-07-04,7,14.0
2020-07-05,11,13.142857142857142
2020-07-06,17,12.857142857142858
2020-07-07,12,12.142857142857142
2020-07-08,10,12.285714285714286
2020-07-09,15,12.428571428571429
2020-07-10,13,13.285714285714286
2020-07-11,8,12.571428571428571
2020-07-12,12,12.285714285714286
2020-07-13,23,12.714285714285714
2020-07-14,7,11.714285714285714
2020-07-15,8,12.714285714285714
2020-07-16,18,12.857142857142858
2020-07-17,6,10.857142857142858
2020-07-18,15,12.142857142857142
2020-07-19,13,13.428571428571429
2020-07-20,9,11.428571428571429
2020-07-21,16,11.714285714285714
2020-07-22,17,10.571428571428571
2020-07-23,4,9.428571428571429
2020-07-24,8,10.428571428571429
2020-07-25,7,9.285714285714286
2020-07-26,5,8.142857142857142
2020-07-27,16,8.714285714285714
2020-07-28,8,8.428571428571429
2020-07-29,9,8.142857142857142
2020-07-30,8,7.857142857142857
2020-07-31,6,6.571428571428571
2020-08-01,5,5.857142857142857
2020-08-02,3,5.714285714285714
2020-08-03,7,5.571428571428571
2020-08-04,3,5.857142857142857
2020-08-05,8,6.142857142857143
2020-08-06,7,6.285714285714286
2020-08-07,8,6.714285714285714
2020-08-08,7,7.285714285714286
2020-08-09,4,6.857142857142857
2020-08-10,10,7.0
2020-08-11,7,7.428571428571429
2020-08-12,5,6.714285714285714
2020-08-13,8,7.714285714285714
2020-08-14,11,6.714285714285714
2020-08-15,2,6.571428571428571
2020-08-16,11,6.857142857142857
2020-08-17,3,7.285714285714286
2020-08-18,6,6.571428571428571
2020-08-19,7,7.142857142857143
2020-08-20,11,6.0
2020-08-21,6,6.571428571428571
2020-08-22,6,6.571428571428571
2020-08-23,3,7.142857142857143
2020-08-24,7,6.428571428571429
2020-08-25,6,5.714285714285714
2020-08-26,11,5.285714285714286
2020-08-27,6,5.857142857142857
2020-08-28,1,6.142857142857143
2020-08-29,3,6.714285714285714
2020-08-30,7,7.142857142857143
2020-08-31,9,8.0
2020-09-01,10,9.428571428571429
2020-09-02,14,11.0
2020-09-03,12,10.857142857142858
2020-09-04,11,12.285714285714286
2020-09-05,14,11.571428571428571
2020-09-06,6,10.571428571428571
2020-09-07,19,10.142857142857142
2020-09-08,5,9.857142857142858
2020-09-09,7,9.714285714285714
2020-09-10,9,10.857142857142858
2020-09-11,9,10.0
2020-09-12,13,12.285714285714286
2020-09-13,14,13.571428571428571
2020-09-14,13,14.571428571428571
2020-09-15,21,16.714285714285715
2020-09-16,16,17.142857142857142
2020-09-17,16,18.0
2020-09-18,24,18.428571428571427
