data,casi,casi_media7gg
2020-01-29,1,
2020-01-30,0,
2020-01-31,0,
2020-02-01,0,0.14285714285714285
2020-02-02,0,0.0
2020-02-03,0,0.14285714285714285
2020-02-04,0,0.14285714285714285
2020-02-05,0,0.14285714285714285
2020-02-06,1,0.14285714285714285
2020-02-07,0,0.14285714285714285
2020-02-08,0,0.14285714285714285
2020-02-09,0,0.14285714285714285
2020-02-10,0,0.0
2020-02-11,0,0.0
2020-02-12,0,0.0
2020-02-13,0,0.0
2020-02-14,0,0.0
2020-02-15,0,0.0
2020-02-16,0,0.0
2020-02-17,0,0.5714285714285714
2020-02-18,0,5.857142857142857
2020-02-19,0,13.714285714285714
2020-02-20,4,24.428571428571427
2020-02-21,37,36.57142857142857
2020-02-22,55,64.14285714285714
2020-02-23,75,103.28571428571429
2020-02-24,85,143.28571428571428
2020-02-25,193,185.71428571428572
2020-02-26,274,230.14285714285714
2020-02-27,284,277.2857142857143
2020-02-28,334,354.0
2020-02-29,366,439.57142857142856
2020-03-01,405,552.5714285714286
2020-03-02,622,694.2857142857143
2020-03-03,792,855.5714285714286
2020-03-04,1065,994.2857142857143
2020-03-05,1276,1135.142857142857
2020-03-06,1463,1355.857142857143
2020-03-07,1337,1575.4285714285713
2020-03-08,1391,1802.0
2020-03-09,2167,2051.5714285714284
2020-03-10,2329,2408.8571428571427
2020-03-11,2651,2714.0
2020-03-12,3023,2916.1428571428573
2020-03-13,3964,3287.714285714286
2020-03-14,3473,3710.714285714286
2020-03-15,2806,4137.857142857143
2020-03-16,4768,4508.857142857143
2020-03-17,5290,4826.428571428572
2020-03-18,5641,5026.285714285715
2020-03-19,5620,5181.857142857143
2020-03-20,6187,5363.857142857143
2020-03-21,4872,5442.857142857143
2020-03-22,3895,5457.0
2020-03-23,6042,5456.285714285715
2020-03-24,5843,5391.428571428572
2020-03-25,5740,5336.428571428572
2020-03-26,5615,5206.857142857143
2020-03-27,5733,5061.857142857143
2020-03-28,4487,4984.857142857143
2020-03-29,2988,4877.0
2020-03-30,5027,4751.571428571428
2020-03-31,5304,4561.857142857143
2020-04-01,4985,4438.857142857143
2020-04-02,4737,4379.428571428572
2020-04-03,4405,4238.428571428572
2020-04-04,3626,4067.8571428571427
2020-04-05,2572,4034.1428571428573
2020-04-06,4040,4022.714285714286
2020-04-07,4110,4121.857142857143
2020-04-08,4749,4091.0
2020-04-09,4657,3996.285714285714
2020-04-10,5099,3741.0
2020-04-11,3410,3616.285714285714
2020-04-12,1909,3497.0
2020-04-13,2253,3356.714285714286
2020-04-14,3237,3124.8571428571427
2020-04-15,3914,3012.285714285714
2020-04-16,3675,2935.714285714286
2020-04-17,3476,3040.8571428571427
2020-04-18,2622,3014.0
2020-04-19,1373,2821.8571428571427
2020-04-20,2989,2693.0
2020-04-21,3049,2583.0
2020-04-22,2569,2443.285714285714
2020-04-23,2773,2391.714285714286
2020-04-24,2706,2244.4285714285716
2020-04-25,1644,2127.285714285714
2020-04-26,1012,2090.0
2020-04-27,1958,2014.4285714285713
2020-04-28,2229,1782.2857142857142
2020-04-29,2308,1691.2857142857142
2020-04-30,2244,1617.857142857143
2020-05-01,1081,1544.7142857142858
2020-05-02,1007,1444.142857142857
2020-05-03,498,1319.4285714285713
2020-05-04,1446,1195.5714285714287
2020-05-05,1525,1236.2857142857142
2020-05-06,1435,1195.857142857143
2020-05-07,1377,1172.2857142857142
2020-05-08,1366,1089.4285714285713
2020-05-09,724,1000.7142857142857
2020-05-10,333,921.5714285714286
2020-05-11,866,853.0
2020-05-12,904,769.7142857142857
2020-05-13,881,751.8571428571429
2020-05-14,897,746.7142857142857
2020-05-15,783,716.1428571428571
2020-05-16,599,688.8571428571429
2020-05-17,297,658.5714285714286
2020-05-18,652,618.2857142857143
2020-05-19,713,603.4285714285714
2020-05-20,669,568.1428571428571
2020-05-21,615,546.5714285714286
2020-05-22,679,525.8571428571429
2020-05-23,352,500.57142857142856
2020-05-24,146,479.2857142857143
2020-05-25,507,464.14285714285717
2020-05-26,536,421.85714285714283
2020-05-27,520,412.14285714285717
2020-05-28,509,403.85714285714283
2020-05-29,383,384.85714285714283
2020-05-30,284,320.57142857142856
2020-05-31,88,297.2857142857143
2020-06-01,374,275.7142857142857
2020-06-02,86,275.42857142857144
2020-06-03,357,263.57142857142856
2020-06-04,358,262.7142857142857
2020-06-05,381,251.85714285714286
2020-06-06,201,291.2857142857143
2020-06-07,82,296.2857142857143
2020-06-08,298,308.85714285714283
2020-06-09,362,306.0
2020-06-10,392,307.7142857142857
2020-06-11,446,305.7142857142857
2020-06-12,361,302.42857142857144
2020-06-13,213,290.2857142857143
2020-06-14,68,277.0
2020-06-15,275,246.57142857142858
2020-06-16,277,236.0
2020-06-17,299,229.14285714285714
2020-06-18,233,227.0
2020-06-19,287,233.42857142857142
2020-06-20,165,234.57142857142858
2020-06-21,53,221.14285714285714
2020-06-22,320,216.71428571428572
2020-06-23,285,201.85714285714286
2020-06-24,205,195.57142857142858
2020-06-25,202,197.0
2020-06-26,183,184.14285714285714
2020-06-27,121,171.28571428571428
2020-06-28,63,174.0
2020-06-29,230,180.42857142857142
2020-06-30,195,188.57142857142858
2020-07-01,224,203.0
2020-07-02,247,204.57142857142858
2020-07-03,240,204.42857142857142
2020-07-04,222,207.85714285714286
2020-07-05,74,216.57142857142858
2020-07-06,229,211.85714285714286
2020-07-07,219,213.28571428571428
2020-07-08,285,201.14285714285714
2020-07-09,214,199.42857142857142
2020-07-10,250,193.57142857142858
2020-07-11,137,196.0
2020-07-12,62,188.28571428571428
2020-07-13,188,194.0
2020-07-14,236,197.71428571428572
2020-07-15,231,202.42857142857142
2020-07-16,254,209.28571428571428
2020-07-17,276,227.28571428571428
2020-07-18,170,232.57142857142858
2020-07-19,110,239.85714285714286
2020-07-20,314,241.57142857142858
2020-07-21,273,246.71428571428572
2020-07-22,282,249.85714285714286
2020-07-23,266,246.85714285714286
2020-07-24,312,246.42857142857142
2020-07-25,192,251.85714285714286
2020-07-26,89,275.7142857142857
2020-07-27,311,276.7142857142857
2020-07-28,311,275.2857142857143
2020-07-29,449,271.2857142857143
2020-07-30,273,273.0
2020-07-31,302,286.85714285714283
2020-08-01,164,291.85714285714283
2020-08-02,101,298.7142857142857
2020-08-03,408,312.7142857142857
2020-08-04,346,328.42857142857144
2020-08-05,497,351.2857142857143
2020-08-06,371,362.42857142857144
2020-08-07,412,371.57142857142856
2020-08-08,324,394.7142857142857
2020-08-09,179,409.2857142857143
2020-08-10,472,430.7142857142857
2020-08-11,508,455.0
2020-08-12,599,449.42857142857144
2020-08-13,521,460.0
2020-08-14,582,489.14285714285717
2020-08-15,285,538.0
2020-08-16,253,590.4285714285714
2020-08-17,676,665.1428571428571
2020-08-18,850,763.1428571428571
2020-08-19,966,855.5714285714286
2020-08-20,1044,907.2857142857143
2020-08-21,1268,1029.142857142857
2020-08-22,932,1120.2857142857142
2020-08-23,615,1184.7142857142858
2020-08-24,1529,1242.142857142857
