data,casi,casi_media7gg
2020-02-20,90,
2020-02-21,123,
2020-02-22,107,
2020-02-23,149,170.85714285714286
2020-02-24,190,203.0
2020-02-25,266,239.0
2020-02-26,271,276.57142857142856
2020-02-27,315,317.7142857142857
2020-02-28,375,385.0
2020-02-29,370,462.0
2020-03-01,437,552.1428571428571
2020-03-02,661,661.5714285714286
2020-03-03,805,778.1428571428571
2020-03-04,902,892.5714285714286
2020-03-05,1081,991.8571428571429
2020-03-06,1191,1100.857142857143
2020-03-07,1171,1207.4285714285713
2020-03-08,1132,1321.857142857143
2020-03-09,1424,1432.5714285714287
2020-03-10,1551,1585.7142857142858
2020-03-11,1703,1700.5714285714287
2020-03-12,1856,1809.142857142857
2020-03-13,2263,1960.5714285714287
2020-03-14,1975,2119.0
2020-03-15,1892,2260.4285714285716
2020-03-16,2484,2392.714285714286
2020-03-17,2660,2475.5714285714284
2020-03-18,2693,2555.8571428571427
2020-03-19,2782,2597.5714285714284
2020-03-20,2843,2629.1428571428573
2020-03-21,2537,2622.714285714286
2020-03-22,2184,2568.714285714286
2020-03-23,2705,2473.8571428571427
2020-03-24,2615,2387.4285714285716
2020-03-25,2315,2274.285714285714
2020-03-26,2118,2167.285714285714
2020-03-27,2238,2021.0
2020-03-28,1745,1874.7142857142858
2020-03-29,1435,1760.4285714285713
2020-03-30,1681,1667.857142857143
2020-03-31,1591,1531.0
2020-04-01,1515,1429.4285714285713
2020-04-02,1470,1344.857142857143
2020-04-03,1280,1253.0
2020-04-04,1034,1174.857142857143
2020-04-05,843,1109.4285714285713
2020-04-06,1038,1044.857142857143
2020-04-07,1044,998.5714285714286
2020-04-08,1057,969.0
2020-04-09,1018,944.2857142857143
2020-04-10,956,886.1428571428571
2020-04-11,827,863.7142857142857
2020-04-12,670,818.4285714285714
2020-04-13,631,778.1428571428571
2020-04-14,887,748.1428571428571
2020-04-15,740,712.5714285714286
2020-04-16,736,684.8571428571429
2020-04-17,746,690.5714285714286
2020-04-18,578,653.5714285714286
2020-04-19,476,637.8571428571429
2020-04-20,671,619.8571428571429
2020-04-21,628,595.1428571428571
2020-04-22,630,574.8571428571429
2020-04-23,610,559.4285714285714
2020-04-24,573,530.1428571428571
2020-04-25,436,505.7142857142857
2020-04-26,368,476.2857142857143
2020-04-27,466,444.14285714285717
2020-04-28,457,404.14285714285717
2020-04-29,424,378.0
2020-04-30,385,352.2857142857143
2020-05-01,293,331.0
2020-05-02,253,309.7142857142857
2020-05-03,188,294.2857142857143
2020-05-04,317,284.0
2020-05-05,308,286.14285714285717
2020-05-06,316,276.7142857142857
2020-05-07,313,275.14285714285717
2020-05-08,308,268.57142857142856
2020-05-09,187,253.0
2020-05-10,177,239.14285714285714
2020-05-11,271,226.0
2020-05-12,199,215.0
2020-05-13,219,208.85714285714286
2020-05-14,221,202.28571428571428
2020-05-15,231,190.71428571428572
2020-05-16,144,186.57142857142858
2020-05-17,131,178.14285714285714
2020-05-18,190,166.28571428571428
2020-05-19,170,155.42857142857142
2020-05-20,160,149.42857142857142
2020-05-21,138,145.57142857142858
2020-05-22,155,143.71428571428572
2020-05-23,102,138.85714285714286
2020-05-24,104,134.14285714285714
2020-05-25,177,127.42857142857143
2020-05-26,136,124.0
2020-05-27,127,122.71428571428571
2020-05-28,91,117.0
2020-05-29,131,113.14285714285714
2020-05-30,93,104.57142857142857
2020-05-31,64,103.57142857142857
2020-06-01,150,105.28571428571429
2020-06-02,76,102.14285714285714
2020-06-03,120,96.85714285714286
2020-06-04,103,95.14285714285714
2020-06-05,109,93.71428571428571
2020-06-06,56,95.85714285714286
2020-06-07,52,91.85714285714286
2020-06-08,140,87.0
2020-06-09,91,86.0
2020-06-10,92,88.57142857142857
2020-06-11,69,89.42857142857143
2020-06-12,102,84.14285714285714
2020-06-13,74,81.28571428571429
2020-06-14,58,83.85714285714286
2020-06-15,103,86.42857142857143
2020-06-16,71,87.14285714285714
2020-06-17,110,82.28571428571429
2020-06-18,87,81.28571428571429
2020-06-19,107,83.28571428571429
2020-06-20,40,85.28571428571429
2020-06-21,51,84.42857142857143
2020-06-22,117,82.71428571428571
2020-06-23,85,81.57142857142857
2020-06-24,104,82.85714285714286
2020-06-25,75,81.28571428571429
2020-06-26,99,80.71428571428571
2020-06-27,49,80.28571428571429
2020-06-28,40,75.85714285714286
2020-06-29,113,77.0
2020-06-30,82,77.14285714285714
2020-07-01,73,75.85714285714286
2020-07-02,83,77.71428571428571
2020-07-03,100,75.14285714285714
2020-07-04,40,73.57142857142857
2020-07-05,53,74.42857142857143
2020-07-06,95,73.28571428571429
2020-07-07,71,70.42857142857143
2020-07-08,79,73.14285714285714
2020-07-09,75,71.71428571428571
2020-07-10,80,71.71428571428571
2020-07-11,59,73.0
2020-07-12,43,72.57142857142857
2020-07-13,95,70.71428571428571
2020-07-14,80,73.85714285714286
2020-07-15,76,73.57142857142857
2020-07-16,62,73.14285714285714
2020-07-17,102,74.71428571428571
2020-07-18,57,75.85714285714286
2020-07-19,40,77.14285714285714
2020-07-20,106,78.57142857142857
2020-07-21,88,75.14285714285714
2020-07-22,85,77.0
2020-07-23,72,78.42857142857143
2020-07-24,78,75.14285714285714
2020-07-25,70,73.14285714285714
2020-07-26,50,73.14285714285714
2020-07-27,83,72.57142857142857
2020-07-28,74,74.0
2020-07-29,85,74.0
2020-07-30,68,75.0
2020-07-31,88,80.0
2020-08-01,70,78.57142857142857
2020-08-02,57,80.0
2020-08-03,118,80.85714285714286
2020-08-04,64,80.14285714285714
2020-08-05,95,78.85714285714286
2020-08-06,74,80.57142857142857
2020-08-07,83,80.57142857142857
2020-08-08,61,80.28571428571429
2020-08-09,69,82.57142857142857
2020-08-10,118,84.85714285714286
2020-08-11,62,85.57142857142857
2020-08-12,111,86.28571428571429
2020-08-13,90,86.14285714285714
2020-08-14,88,85.0
2020-08-15,66,94.57142857142857
2020-08-16,68,100.0
2020-08-17,110,100.42857142857143
2020-08-18,129,102.42857142857143
2020-08-19,149,110.85714285714286
2020-08-20,93,114.71428571428571
2020-08-21,102,118.28571428571429
2020-08-22,125,122.14285714285714
2020-08-23,95,123.14285714285714
2020-08-24,135,131.57142857142858
2020-08-25,156,139.28571428571428
2020-08-26,156,137.85714285714286
2020-08-27,152,140.71428571428572
2020-08-28,156,142.57142857142858
2020-08-29,115,143.57142857142858
2020-08-30,115,148.0
2020-08-31,148,153.28571428571428
2020-09-01,163,157.14285714285714
2020-09-02,187,162.0
2020-09-03,189,163.71428571428572
2020-09-04,183,174.14285714285714
2020-09-05,149,176.85714285714286
2020-09-06,127,178.57142857142858
2020-09-07,221,183.14285714285714
2020-09-08,182,187.85714285714286
2020-09-09,199,192.85714285714286
2020-09-10,221,199.42857142857142
2020-09-11,216,202.14285714285714
2020-09-12,184,211.85714285714286
2020-09-13,173,217.85714285714286
2020-09-14,240,221.42857142857142
2020-09-15,250,225.28571428571428
2020-09-16,241,225.85714285714286
2020-09-17,246,224.71428571428572
2020-09-18,243,229.0
2020-09-19,188,231.71428571428572
2020-09-20,165,235.42857142857142
2020-09-21,270,236.71428571428572
2020-09-22,269,242.85714285714286
2020-09-23,267,247.28571428571428
2020-09-24,255,251.28571428571428
2020-09-25,286,255.57142857142858
2020-09-26,219,259.2857142857143
2020-09-27,193,260.0
2020-09-28,300,273.14285714285717
2020-09-29,295,285.2857142857143
2020-09-30,272,305.14285714285717
2020-10-01,347,323.7142857142857
2020-10-02,371,345.85714285714283
2020-10-03,358,375.2857142857143
2020-10-04,323,407.14285714285717
2020-10-05,455,434.0
2020-10-06,501,462.42857142857144
2020-10-07,495,493.2857142857143
2020-10-08,535,531.8571428571429
2020-10-09,570,576.5714285714286
2020-10-10,574,622.8571428571429
2020-10-11,593,673.2857142857143
2020-10-12,768,733.0
2020-10-13,825,790.4285714285714
2020-10-14,848,867.0
2020-10-15,953,930.5714285714286
2020-10-16,972,1008.5714285714286
2020-10-17,1110,1094.4285714285713
2020-10-18,1038,1178.2857142857142
2020-10-19,1314,1260.5714285714287
2020-10-20,1426,1368.857142857143
2020-10-21,1435,1434.857142857143
2020-10-22,1529,1522.0
2020-10-23,1730,1619.5714285714287
2020-10-24,1572,1696.5714285714287
2020-10-25,1648,1778.857142857143
2020-10-26,1997,1861.857142857143
2020-10-27,1965,1942.142857142857
2020-10-28,2011,2011.4285714285713
2020-10-29,2110,2050.8571428571427
2020-10-30,2292,2113.1428571428573
2020-10-31,2057,2187.5714285714284
2020-11-01,1924,2273.8571428571427
2020-11-02,2433,2346.8571428571427
2020-11-03,2486,2386.285714285714
2020-11-04,2615,2438.4285714285716
2020-11-05,2621,2474.1428571428573
2020-11-06,2568,2483.5714285714284
2020-11-07,2422,2490.714285714286
2020-11-08,2174,2492.285714285714
2020-11-09,2499,2479.0
2020-11-10,2536,2477.285714285714
2020-11-11,2626,2462.1428571428573
2020-11-12,2528,2441.1428571428573
2020-11-13,2556,2438.8571428571427
2020-11-14,2316,2428.285714285714
2020-11-15,2027,2384.285714285714
2020-11-16,2483,2352.5714285714284
2020-11-17,2462,2303.0
2020-11-18,2318,2232.8571428571427
2020-11-19,2306,2172.285714285714
2020-11-20,2209,2106.4285714285716
2020-11-21,1825,2032.5714285714287
2020-11-22,1603,1966.0
2020-11-23,2022,1890.2857142857142
2020-11-24,1945,1828.4285714285713
2020-11-25,1852,1797.5714285714287
2020-11-26,1776,1764.7142857142858
2020-11-27,1776,1704.5714285714287
2020-11-28,1609,1657.5714285714287
2020-11-29,1373,1624.142857142857
2020-11-30,1601,1595.7142857142858
2020-12-01,1616,1562.857142857143
2020-12-02,1618,1537.142857142857
2020-12-03,1577,1521.7142857142858
2020-12-04,1546,1494.857142857143
2020-12-05,1429,1449.4285714285713
2020-12-06,1265,1422.2857142857142
2020-12-07,1413,1396.857142857143
2020-12-08,1298,1382.2857142857142
2020-12-09,1428,1358.7142857142858
2020-12-10,1399,1327.2857142857142
2020-12-11,1444,1319.142857142857
2020-12-12,1264,1315.857142857143
2020-12-13,1045,1290.857142857143
2020-12-14,1356,1276.142857142857
2020-12-15,1275,1250.7142857142858
2020-12-16,1253,1242.857142857143
2020-12-17,1296,1242.7142857142858
2020-12-18,1266,1228.5714285714287
2020-12-19,1209,1231.0
2020-12-20,1044,1229.142857142857
2020-12-21,1257,1224.142857142857
2020-12-22,1292,1185.2857142857142
2020-12-23,1240,1176.5714285714287
2020-12-24,1261,1199.2857142857142
2020-12-25,994,1214.0
2020-12-26,1148,1231.142857142857
2020-12-27,1203,1246.0
2020-12-28,1360,1261.857142857143
2020-12-29,1412,1284.857142857143
2020-12-30,1344,1323.142857142857
2020-12-31,1372,1325.142857142857
2021-01-01,1155,1335.4285714285713
2021-01-02,1416,1343.0
2021-01-03,1217,1325.4285714285713
2021-01-04,1432,1330.2857142857142
2021-01-05,1465,1375.4285714285713
2021-01-06,1221,1355.857142857143
2021-01-07,1406,1346.5714285714287
2021-01-08,1471,1334.142857142857
2021-01-09,1279,1311.7142857142858
2021-01-10,1152,1319.4285714285713
2021-01-11,1345,1302.4285714285713
2021-01-12,1308,1270.5714285714287
2021-01-13,1275,1259.142857142857
2021-01-14,1287,1226.7142857142858
2021-01-15,1248,1200.5714285714287
2021-01-16,1199,1167.5714285714287
2021-01-17,925,1139.7142857142858
2021-01-18,1162,1119.0
2021-01-19,1077,1093.0
2021-01-20,1080,1064.4285714285713
2021-01-21,1142,1055.142857142857
2021-01-22,1066,1057.2857142857142
2021-01-23,999,1042.857142857143
2021-01-24,860,1020.4285714285714
2021-01-25,1177,997.4285714285714
2021-01-26,976,991.8571428571429
2021-01-27,923,977.8571428571429
2021-01-28,981,972.8571428571429
2021-01-29,1027,955.8571428571429
2021-01-30,901,956.8571428571429
2021-01-31,825,965.2857142857143
2021-02-01,1058,964.4285714285714
2021-02-02,983,957.1428571428571
2021-02-03,982,956.2857142857143
2021-02-04,975,959.4285714285714
2021-02-05,976,954.2857142857143
2021-02-06,895,951.1428571428571
2021-02-07,847,954.8571428571429
2021-02-08,1022,955.4285714285714
2021-02-09,961,950.1428571428571
2021-02-10,1008,943.5714285714286
2021-02-11,979,928.4285714285714
2021-02-12,939,921.5714285714286
2021-02-13,849,919.7142857142857
2021-02-14,741,922.0
2021-02-15,974,932.1428571428571
2021-02-16,948,946.2857142857143
2021-02-17,1024,967.5714285714286
2021-02-18,1050,994.5714285714286
2021-02-19,1038,1039.5714285714287
2021-02-20,998,1087.0
2021-02-21,930,1112.7142857142858
2021-02-22,1289,1135.2857142857142
2021-02-23,1280,1179.7142857142858
2021-02-24,1204,1227.142857142857
2021-02-25,1208,1260.142857142857
2021-02-26,1349,1283.4285714285713
2021-02-27,1330,1334.4285714285713
2021-02-28,1161,1393.4285714285713
2021-03-01,1452,1446.0
2021-03-02,1637,1495.857142857143
2021-03-03,1617,1531.142857142857
2021-03-04,1576,1562.4285714285713
2021-03-05,1698,1618.2857142857142
2021-03-06,1577,1648.7142857142858
2021-03-07,1380,1683.0
2021-03-08,1843,1705.857142857143
2021-03-09,1850,1731.0
2021-03-10,1857,1768.4285714285713
2021-03-11,1736,1802.0
2021-03-12,1874,1829.5714285714287
2021-03-13,1839,1858.7142857142858
2021-03-14,1615,1868.7142857142858
2021-03-15,2036,1879.7142857142858
2021-03-16,2054,1880.4285714285713
2021-03-17,1927,1877.0
2021-03-18,1813,1880.5714285714287
2021-03-19,1879,1863.7142857142858
2021-03-20,1815,1834.2857142857142
2021-03-21,1640,1816.2857142857142
2021-03-22,1918,1821.7142857142858
2021-03-23,1848,1824.7142857142858
2021-03-24,1801,1807.0
2021-03-25,1851,1772.4285714285713
2021-03-26,1900,1762.857142857143
2021-03-27,1691,1749.7142857142858
